,date_sold,Date_Sold_id
0,2016-01-13,1
5,2016-01-15,2
10,2016-01-16,3
11,2016-01-18,4
13,2016-01-19,5
18,2016-01-20,6
22,2016-01-21,7
25,2016-01-22,8
29,2016-01-25,9
32,2016-01-26,10
33,2016-01-27,11
36,2016-01-28,12
38,2016-01-29,13
41,2016-01-30,14
44,2016-01-31,15
45,2016-02-13,16
51,2016-02-15,17
56,2016-02-16,18
62,2016-02-17,19
68,2016-02-18,20
70,2016-02-19,21
73,2016-02-20,22
80,2016-02-22,23
82,2016-02-23,24
84,2016-02-24,25
88,2016-02-25,26
94,2016-02-26,27
100,2016-02-27,28
111,2016-02-29,29
118,2016-03-13,30
120,2016-03-14,31
123,2016-03-16,32
127,2016-03-17,33
132,2016-03-18,34
137,2016-03-19,35
148,2016-03-20,36
149,2016-03-21,37
155,2016-03-22,38
158,2016-03-23,39
163,2016-03-24,40
167,2016-03-26,41
168,2016-03-29,42
175,2016-03-30,43
179,2016-03-31,44
180,2016-04-13,45
186,2016-04-14,46
189,2016-04-15,47
194,2016-04-16,48
196,2016-04-17,49
197,2016-04-18,50
201,2016-04-19,51
204,2016-04-20,52
208,2016-04-21,53
210,2016-04-22,54
217,2016-04-23,55
224,2016-04-26,56
226,2016-04-27,57
229,2016-04-28,58
233,2016-04-29,59
234,2016-04-30,60
239,2016-05-13,61
247,2016-05-14,62
251,2016-05-15,63
252,2016-05-16,64
255,2016-05-17,65
261,2016-05-18,66
264,2016-05-19,67
267,2016-05-20,68
274,2016-05-21,69
277,2016-05-23,70
281,2016-05-25,71
286,2016-05-26,72
288,2016-05-27,73
296,2016-05-28,74
302,2016-05-30,75
310,2016-05-31,76
312,2016-06-14,77
313,2016-06-15,78
317,2016-06-16,79
319,2016-06-17,80
322,2016-06-18,81
328,2016-06-19,82
330,2016-06-20,83
332,2016-06-21,84
334,2016-06-22,85
337,2016-06-23,86
340,2016-06-24,87
348,2016-06-25,88
357,2016-06-27,89
358,2016-06-28,90
363,2016-06-29,91
366,2016-07-13,92
369,2016-07-14,93
372,2016-07-15,94
375,2016-07-16,95
382,2016-07-18,96
385,2016-07-19,97
391,2016-07-20,98
398,2016-07-21,99
402,2016-07-22,100
411,2016-07-23,101
413,2016-07-26,102
417,2016-07-27,103
420,2016-07-28,104
425,2016-07-29,105
430,2016-07-30,106
439,2016-08-13,107
445,2016-08-14,108
446,2016-08-15,109
449,2016-08-16,110
457,2016-08-17,111
464,2016-08-18,112
465,2016-08-19,113
474,2016-08-20,114
481,2016-08-22,115
488,2016-08-23,116
491,2016-08-24,117
494,2016-08-25,118
499,2016-08-26,119
504,2016-08-27,120
509,2016-08-28,121
512,2016-08-29,122
520,2016-08-30,123
525,2016-08-31,124
530,2016-09-13,125
536,2016-09-14,126
542,2016-09-15,127
545,2016-09-16,128
549,2016-09-17,129
558,2016-09-18,130
559,2016-09-19,131
560,2016-09-20,132
567,2016-09-21,133
570,2016-09-22,134
573,2016-09-23,135
577,2016-09-24,136
587,2016-09-25,137
588,2016-09-26,138
589,2016-09-27,139
594,2016-09-28,140
602,2016-09-29,141
606,2016-09-30,142
614,2016-02-10,143
617,2016-03-10,144
620,2016-05-10,145
623,2016-06-10,146
626,2016-08-10,147
630,2016-09-10,148
644,2016-10-10,149
653,2016-11-10,150
656,2016-12-10,151
664,2016-10-13,152
670,2016-10-14,153
678,2016-10-15,154
691,2016-10-16,155
692,2016-10-17,156
703,2016-10-18,157
708,2016-10-19,158
710,2016-10-20,159
714,2016-10-21,160
720,2016-10-22,161
729,2016-10-24,162
734,2016-10-25,163
740,2016-10-26,164
749,2016-10-27,165
751,2016-10-28,166
759,2016-10-29,167
774,2016-10-31,168
783,2016-01-11,169
785,2016-02-11,170
789,2016-03-11,171
795,2016-04-11,172
797,2016-05-11,173
801,2016-06-11,174
805,2016-07-11,175
807,2016-08-11,176
809,2016-09-11,177
810,2016-10-11,178
816,2016-11-11,179
826,2016-12-11,180
827,2016-11-13,181
828,2016-11-14,182
